ip,alert_count,directions,unique_signatures,unique_categories,critical_severity,top_signature,top_category,top_local_peers,first_seen,last_seen,vt_lookup_status,vt_malicious,vt_suspicious,vt_harmless,vt_undetected,vt_reputation,vt_country,vt_as_owner,vt_network,vt_tags,vt_error,risk_score,risk_level
188.213.170.104,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 255,Misc Attack,10.47.44.10,2018-03-24 18:00:55.486010-06:00,2018-03-24 18:00:55.486010-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
188.40.128.246,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 258,Misc Attack,10.47.21.82,2018-03-24 18:32:16.093202-06:00,2018-03-24 18:32:16.093202-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
192.87.28.82,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 266,Misc Attack,10.47.23.81,2018-03-24 18:30:28.523636-06:00,2018-03-24 18:30:28.523636-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
193.11.114.45,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 269,Misc Attack,10.47.24.82,2018-03-24 18:45:59.854731-06:00,2018-03-24 18:45:59.854731-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
193.23.244.244,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 271,Misc Attack,10.47.24.80,2018-03-24 16:00:25.294158-06:00,2018-03-24 16:00:25.294158-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
193.35.52.53,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 273,Misc Attack,10.47.43.10,2018-03-24 17:10:27.939337-06:00,2018-03-24 17:10:27.939337-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
194.109.206.212,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 274,Misc Attack,10.47.44.10,2018-03-24 16:04:34.042603-06:00,2018-03-24 16:04:34.042603-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
198.27.69.201,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 285,Misc Attack,10.47.2.155,2018-03-24 15:20:11.915448-06:00,2018-03-24 15:20:11.915448-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
199.58.81.140,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 289,Misc Attack,10.47.23.81,2018-03-24 18:37:47.852079-06:00,2018-03-24 18:37:47.852079-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
212.47.240.10,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 336,Misc Attack,10.47.44.68,2018-03-24 16:17:55.163296-06:00,2018-03-24 16:17:55.163296-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
